huespedes,dormitorios,camas,baños,precio_eur,valoracion,alojamiento,limpieza,llegada_autonoma,ubicacion_fantastica,wifi,cocina,lavadora,aire,secador,frigorifico,ciudad,nombre,urls
6,4,5,2,77,4.69,Alojamiento entero,Limpieza avanzada,No Llegada autónoma,Ubicación fantástica,Wifi,Cocina,Lavadora,Aire acondicionado,Secador de pelo,No Frigorífico,Madrid,"A estrenar, zona centro, Sol, Atocha, Lavapies",https://www.airbnb.es/rooms/20346903?adults=1&children=0&infants=0&check_in=2022-06-03&check_out=2022-06-05&previous_page_section_name=1000&federated_search_id=b1128ab6-d356-41df-87fe-f44c742a9004
2,0,1,1,47,4.2,Alojamiento entero,No Limpieza avanzada,Llegada autónoma,Ubicación fantástica,Wifi,No cocina,No lavadora,Aire acondicionado,Secador de pelo,Frigorífico,Madrid,Estudio/Sótano centro de Madrid A/A,https://www.airbnb.es/rooms/11186198?adults=1&children=0&infants=0&check_in=2022-10-07&check_out=2022-10-09&previous_page_section_name=1000&federated_search_id=b1128ab6-d356-41df-87fe-f44c742a9004
6,2,4,2,99,4.0,Alojamiento entero,Limpieza avanzada,No Llegada autónoma,No ubicación_fantastica,Wifi,Cocina,Lavadora,Aire acondicionado,Secador de pelo,No Frigorífico,Madrid,Estudio/Sótano centro de Madrid A/A,https://www.airbnb.es/rooms/11186198?adults=1&children=0&infants=0&check_in=2022-10-07&check_out=2022-10-09&previous_page_section_name=1000&federated_search_id=b1128ab6-d356-41df-87fe-f44c742a9004
5,2,3,1,76,4.0,Alojamiento entero,Limpieza avanzada,No Llegada autónoma,No ubicación_fantastica,Wifi,Cocina,Lavadora,Aire acondicionado,No Secador de pelo,No Frigorífico,Madrid,Estudio/Sótano centro de Madrid A/A,https://www.airbnb.es/rooms/11186198?adults=1&children=0&infants=0&check_in=2022-10-07&check_out=2022-10-09&previous_page_section_name=1000&federated_search_id=b1128ab6-d356-41df-87fe-f44c742a9004
1,1,1,1,17,4.83,Habitación privada,Limpieza avanzada,No Llegada autónoma,Ubicación fantástica,Wifi,Cocina,Lavadora,No Aire acondicionado,No Secador de pelo,No Frigorífico,Madrid,Habitación en el centro de Madrid,https://www.airbnb.es/rooms/49567702?adults=1&children=0&infants=0&check_in=2022-02-18&check_out=2022-02-20&previous_page_section_name=1000&federated_search_id=b1128ab6-d356-41df-87fe-f44c742a9004
5,2,4,2,241,4.0,Alojamiento entero,No Limpieza avanzada,No Llegada autónoma,No ubicación_fantastica,Wifi,Cocina,Lavadora,Aire acondicionado,Secador de pelo,No Frigorífico,Madrid,Habitación en el centro de Madrid,https://www.airbnb.es/rooms/49567702?adults=1&children=0&infants=0&check_in=2022-02-18&check_out=2022-02-20&previous_page_section_name=1000&federated_search_id=b1128ab6-d356-41df-87fe-f44c742a9004
8,4,5,2,100,4.0,Alojamiento entero,Limpieza avanzada,No Llegada autónoma,Ubicación fantástica,No Wifi,No cocina,No lavadora,No Aire acondicionado,No Secador de pelo,No Frigorífico,Madrid,Habitación en el centro de Madrid,https://www.airbnb.es/rooms/49567702?adults=1&children=0&infants=0&check_in=2022-02-18&check_out=2022-02-20&previous_page_section_name=1000&federated_search_id=b1128ab6-d356-41df-87fe-f44c742a9004
2,1,1,1,44,4.0,Alojamiento entero,No Limpieza avanzada,No Llegada autónoma,No ubicación_fantastica,Wifi,Cocina,Lavadora,No Aire acondicionado,Secador de pelo,Frigorífico,Madrid,Bonito estudio en pleno centro,https://www.airbnb.es/rooms/420039?adults=1&children=0&infants=0&check_in=2022-11-25&check_out=2022-11-27&previous_page_section_name=1000&federated_search_id=b1128ab6-d356-41df-87fe-f44c742a9004
7,0,6,1,100,4.63,Alojamiento entero,Limpieza avanzada,No Llegada autónoma,Ubicación fantástica,Wifi,Cocina,Lavadora,Aire acondicionado,Secador de pelo,No Frigorífico,Madrid,Bonito estudio en pleno centro,https://www.airbnb.es/rooms/420039?adults=1&children=0&infants=0&check_in=2022-11-25&check_out=2022-11-27&previous_page_section_name=1000&federated_search_id=b1128ab6-d356-41df-87fe-f44c742a9004
6,3,4,1,85,4.74,Alojamiento entero,No Limpieza avanzada,No Llegada autónoma,Ubicación fantástica,Wifi,Cocina,Lavadora,Aire acondicionado,No Secador de pelo,No Frigorífico,Madrid,Bonito estudio en pleno centro,https://www.airbnb.es/rooms/420039?adults=1&children=0&infants=0&check_in=2022-11-25&check_out=2022-11-27&previous_page_section_name=1000&federated_search_id=b1128ab6-d356-41df-87fe-f44c742a9004
2,0,1,1,42,4.58,Alojamiento entero,Limpieza avanzada,No Llegada autónoma,Ubicación fantástica,Wifi,Cocina,Lavadora,No Aire acondicionado,Secador de pelo,No Frigorífico,Madrid,Estudio 2/ Calle Fuencarral/ Chueca/ Centro/ Wifi,https://www.airbnb.es/rooms/52609413?adults=1&children=0&infants=0&check_in=2022-05-06&check_out=2022-05-08&previous_page_section_name=1000&federated_search_id=b1128ab6-d356-41df-87fe-f44c742a9004
6,2,3,2,100,4.83,Alojamiento entero,Limpieza avanzada,No Llegada autónoma,Ubicación fantástica,Wifi,Cocina,Lavadora,Aire acondicionado,Secador de pelo,Frigorífico,Madrid,Estudio 2/ Calle Fuencarral/ Chueca/ Centro/ Wifi,https://www.airbnb.es/rooms/52609413?adults=1&children=0&infants=0&check_in=2022-05-06&check_out=2022-05-08&previous_page_section_name=1000&federated_search_id=b1128ab6-d356-41df-87fe-f44c742a9004
5,3,3,1,69,4.0,Alojamiento entero,Limpieza avanzada,Llegada autónoma,No ubicación_fantastica,Wifi,Cocina,Lavadora,Aire acondicionado,No Secador de pelo,No Frigorífico,Madrid,Estudio 2/ Calle Fuencarral/ Chueca/ Centro/ Wifi,https://www.airbnb.es/rooms/52609413?adults=1&children=0&infants=0&check_in=2022-05-06&check_out=2022-05-08&previous_page_section_name=1000&federated_search_id=b1128ab6-d356-41df-87fe-f44c742a9004
3,1,2,1,55,4.85,Alojamiento entero,Limpieza avanzada,No Llegada autónoma,No ubicación_fantastica,Wifi,Cocina,No lavadora,Aire acondicionado,Secador de pelo,No Frigorífico,Madrid,"**Studio Centre-Live-In Atocha-WiFi,A/C **",https://www.airbnb.es/rooms/20814789?adults=1&children=0&infants=0&check_in=2022-10-28&check_out=2022-10-30&previous_page_section_name=1000&federated_search_id=b1128ab6-d356-41df-87fe-f44c742a9004
5,3,4,2,90,4.63,Alojamiento entero,No Limpieza avanzada,No Llegada autónoma,No ubicación_fantastica,Wifi,Cocina,Lavadora,Aire acondicionado,Secador de pelo,No Frigorífico,Madrid,"**Studio Centre-Live-In Atocha-WiFi,A/C **",https://www.airbnb.es/rooms/20814789?adults=1&children=0&infants=0&check_in=2022-10-28&check_out=2022-10-30&previous_page_section_name=1000&federated_search_id=b1128ab6-d356-41df-87fe-f44c742a9004
5,2,4,1,95,4.38,Alojamiento entero,Limpieza avanzada,No Llegada autónoma,Ubicación fantástica,Wifi,Cocina,Lavadora,No Aire acondicionado,No Secador de pelo,No Frigorífico,Madrid,"**Studio Centre-Live-In Atocha-WiFi,A/C **",https://www.airbnb.es/rooms/20814789?adults=1&children=0&infants=0&check_in=2022-10-28&check_out=2022-10-30&previous_page_section_name=1000&federated_search_id=b1128ab6-d356-41df-87fe-f44c742a9004
2,1,1,1,50,4.0,Alojamiento entero,Limpieza avanzada,Llegada autónoma,No ubicación_fantastica,No Wifi,No cocina,No lavadora,No Aire acondicionado,No Secador de pelo,No Frigorífico,Madrid,hermoso apartamento en pleno corazón de Madrid🏡,https://www.airbnb.es/rooms/505914361964560427?adults=1&children=0&infants=0&check_in=2022-09-09&check_out=2022-09-11&previous_page_section_name=1000&federated_search_id=b1128ab6-d356-41df-87fe-f44c742a9004
5,3,1,1,80,4.48,Alojamiento entero,No Limpieza avanzada,No Llegada autónoma,No ubicación_fantastica,No Wifi,No cocina,No lavadora,No Aire acondicionado,No Secador de pelo,No Frigorífico,Madrid,hermoso apartamento en pleno corazón de Madrid🏡,https://www.airbnb.es/rooms/505914361964560427?adults=1&children=0&infants=0&check_in=2022-09-09&check_out=2022-09-11&previous_page_section_name=1000&federated_search_id=b1128ab6-d356-41df-87fe-f44c742a9004
6,3,4,1,70,4.73,Alojamiento entero,Limpieza avanzada,No Llegada autónoma,No ubicación_fantastica,Wifi,Cocina,Lavadora,No Aire acondicionado,Secador de pelo,No Frigorífico,Madrid,hermoso apartamento en pleno corazón de Madrid🏡,https://www.airbnb.es/rooms/505914361964560427?adults=1&children=0&infants=0&check_in=2022-09-09&check_out=2022-09-11&previous_page_section_name=1000&federated_search_id=b1128ab6-d356-41df-87fe-f44c742a9004
2,1,1,1,45,4.72,Alojamiento entero,Limpieza avanzada,Llegada autónoma,No ubicación_fantastica,Wifi,Cocina,No lavadora,No Aire acondicionado,Secador de pelo,Frigorífico,Madrid,✨Comfy Loft~15 min to city centre🚇,https://www.airbnb.es/rooms/51537911?adults=1&children=0&infants=0&check_in=2022-02-18&check_out=2022-02-20&previous_page_section_name=1000&federated_search_id=b1128ab6-d356-41df-87fe-f44c742a9004
8,4,4,2,190,4.17,Alojamiento entero,Limpieza avanzada,No Llegada autónoma,No ubicación_fantastica,Wifi,Cocina,No lavadora,Aire acondicionado,Secador de pelo,No Frigorífico,Madrid,✨Comfy Loft~15 min to city centre🚇,https://www.airbnb.es/rooms/51537911?adults=1&children=0&infants=0&check_in=2022-02-18&check_out=2022-02-20&previous_page_section_name=1000&federated_search_id=b1128ab6-d356-41df-87fe-f44c742a9004
7,2,4,1,89,4.9,Alojamiento entero,No Limpieza avanzada,No Llegada autónoma,No ubicación_fantastica,Wifi,Cocina,Lavadora,Aire acondicionado,Secador de pelo,No Frigorífico,Madrid,✨Comfy Loft~15 min to city centre🚇,https://www.airbnb.es/rooms/51537911?adults=1&children=0&infants=0&check_in=2022-02-18&check_out=2022-02-20&previous_page_section_name=1000&federated_search_id=b1128ab6-d356-41df-87fe-f44c742a9004
2,1,1,1,45,4.82,Alojamiento entero,No Limpieza avanzada,No Llegada autónoma,Ubicación fantástica,Wifi,Cocina,Lavadora,No Aire acondicionado,No Secador de pelo,Frigorífico,Madrid,Estudio en Atocha,https://www.airbnb.es/rooms/44583953?adults=1&children=0&infants=0&check_in=2022-04-29&check_out=2022-05-01&previous_page_section_name=1000&federated_search_id=b1128ab6-d356-41df-87fe-f44c742a9004
5,3,4,2,170,4.68,Alojamiento entero,Limpieza avanzada,Llegada autónoma,No ubicación_fantastica,No Wifi,No cocina,No lavadora,No Aire acondicionado,No Secador de pelo,No Frigorífico,Madrid,Estudio en Atocha,https://www.airbnb.es/rooms/44583953?adults=1&children=0&infants=0&check_in=2022-04-29&check_out=2022-05-01&previous_page_section_name=1000&federated_search_id=b1128ab6-d356-41df-87fe-f44c742a9004
6,3,4,2,81,4.78,Alojamiento entero,Limpieza avanzada,No Llegada autónoma,No ubicación_fantastica,Wifi,Cocina,Lavadora,Aire acondicionado,No Secador de pelo,No Frigorífico,Madrid,Estudio en Atocha,https://www.airbnb.es/rooms/44583953?adults=1&children=0&infants=0&check_in=2022-04-29&check_out=2022-05-01&previous_page_section_name=1000&federated_search_id=b1128ab6-d356-41df-87fe-f44c742a9004
2,1,1,1,18,4.85,Habitación privada,Limpieza avanzada,No Llegada autónoma,Ubicación fantástica,No Wifi,No cocina,No lavadora,No Aire acondicionado,No Secador de pelo,No Frigorífico,Madrid,Nice room in La Latina for one person (or two),https://www.airbnb.es/rooms/23936660?adults=1&children=0&infants=0&check_in=2022-02-18&check_out=2022-02-20&previous_page_section_name=1000&federated_search_id=b1128ab6-d356-41df-87fe-f44c742a9004
8,4,6,3,220,4.95,Alojamiento entero,Limpieza avanzada,Llegada autónoma,No ubicación_fantastica,Wifi,Cocina,Lavadora,Aire acondicionado,Secador de pelo,No Frigorífico,Madrid,Nice room in La Latina for one person (or two),https://www.airbnb.es/rooms/23936660?adults=1&children=0&infants=0&check_in=2022-02-18&check_out=2022-02-20&previous_page_section_name=1000&federated_search_id=b1128ab6-d356-41df-87fe-f44c742a9004
6,3,5,2,95,4.88,Alojamiento entero,Limpieza avanzada,No Llegada autónoma,Ubicación fantástica,Wifi,Cocina,Lavadora,Aire acondicionado,No Secador de pelo,No Frigorífico,Madrid,Nice room in La Latina for one person (or two),https://www.airbnb.es/rooms/23936660?adults=1&children=0&infants=0&check_in=2022-02-18&check_out=2022-02-20&previous_page_section_name=1000&federated_search_id=b1128ab6-d356-41df-87fe-f44c742a9004
3,0,2,1,65,4.42,Alojamiento entero,No Limpieza avanzada,No Llegada autónoma,No ubicación_fantastica,Wifi,Cocina,Lavadora,Aire acondicionado,Secador de pelo,Frigorífico,Madrid,Nuevo! Cómodo estudio en Malasaña-Gran Via,https://www.airbnb.es/rooms/40253337?adults=1&children=0&infants=0&check_in=2022-10-28&check_out=2022-10-30&previous_page_section_name=1000&federated_search_id=b1128ab6-d356-41df-87fe-f44c742a9004
6,2,4,1,90,4.89,Alojamiento entero,Limpieza avanzada,No Llegada autónoma,Ubicación fantástica,Wifi,Cocina,Lavadora,Aire acondicionado,No Secador de pelo,No Frigorífico,Madrid,Nuevo! Cómodo estudio en Malasaña-Gran Via,https://www.airbnb.es/rooms/40253337?adults=1&children=0&infants=0&check_in=2022-10-28&check_out=2022-10-30&previous_page_section_name=1000&federated_search_id=b1128ab6-d356-41df-87fe-f44c742a9004
2,1,1,2,45,4.76,Habitación privada,Limpieza avanzada,Llegada autónoma,No ubicación_fantastica,Wifi,Cocina,Lavadora,Aire acondicionado,Secador de pelo,Frigorífico,Madrid,Hab. Doble con Balcón y Baño Privado,https://www.airbnb.es/rooms/27979338?adults=1&children=0&infants=0&check_in=2022-07-08&check_out=2022-07-10&previous_page_section_name=1000&federated_search_id=b1128ab6-d356-41df-87fe-f44c742a9004
6,3,4,2,130,3.55,Alojamiento entero,No Limpieza avanzada,No Llegada autónoma,No ubicación_fantastica,Wifi,Cocina,Lavadora,Aire acondicionado,Secador de pelo,No Frigorífico,Madrid,Hab. Doble con Balcón y Baño Privado,https://www.airbnb.es/rooms/27979338?adults=1&children=0&infants=0&check_in=2022-07-08&check_out=2022-07-10&previous_page_section_name=1000&federated_search_id=b1128ab6-d356-41df-87fe-f44c742a9004
5,2,3,1,95,4.64,Habitación privada,No Limpieza avanzada,No Llegada autónoma,No ubicación_fantastica,Wifi,Cocina,Lavadora,Aire acondicionado,Secador de pelo,No Frigorífico,Madrid,Hab. Doble con Balcón y Baño Privado,https://www.airbnb.es/rooms/27979338?adults=1&children=0&infants=0&check_in=2022-07-08&check_out=2022-07-10&previous_page_section_name=1000&federated_search_id=b1128ab6-d356-41df-87fe-f44c742a9004
