huespedes,dormitorios,camas,baños,precio_eur,valoracion,alojamiento,limpieza,llegada_autonoma,ubicacion_fantastica,wifi,cocina,lavadora,aire,secador,frigorifico,ciudad,nombre,urls
6,3,5,1,126,4.0,Alojamiento entero,Limpieza avanzada,No Llegada autónoma,No ubicación_fantastica,No Wifi,No cocina,No lavadora,No Aire acondicionado,No Secador de pelo,No Frigorífico,Barcelona,Arte cerca del Mar,https://www.airbnb.es/rooms/13280760?adults=1&children=0&infants=0&check_in=2022-10-14&check_out=2022-10-16&previous_page_section_name=1000&federated_search_id=4e6d1d2c-4ab4-4786-8b7e-0a15b22d4cef
2,1,1,1,35,4.92,Habitación privada,Limpieza avanzada,No Llegada autónoma,Ubicación fantástica,Wifi,Cocina,No lavadora,Aire acondicionado,No Secador de pelo,No Frigorífico,Barcelona,Central room in plaza España,https://www.airbnb.es/rooms/52027444?adults=1&children=0&infants=0&check_in=2022-10-28&check_out=2022-10-30&previous_page_section_name=1000&federated_search_id=4e6d1d2c-4ab4-4786-8b7e-0a15b22d4cef
6,3,6,3,229,4.83,Alojamiento entero,Limpieza avanzada,Llegada autónoma,No ubicación_fantastica,Wifi,Cocina,Lavadora,Aire acondicionado,Secador de pelo,No Frigorífico,Barcelona,Central room in plaza España,https://www.airbnb.es/rooms/52027444?adults=1&children=0&infants=0&check_in=2022-10-28&check_out=2022-10-30&previous_page_section_name=1000&federated_search_id=4e6d1d2c-4ab4-4786-8b7e-0a15b22d4cef
2,1,1,1,71,4.0,Habitación privada,No Limpieza avanzada,No Llegada autónoma,Ubicación fantástica,No Wifi,No cocina,No lavadora,No Aire acondicionado,No Secador de pelo,No Frigorífico,Barcelona,Gran Habitación en el Centro de Barcelona,https://www.airbnb.es/rooms/3707514?adults=1&children=0&infants=0&check_in=2022-02-25&check_out=2022-02-27&previous_page_section_name=1000&federated_search_id=4e6d1d2c-4ab4-4786-8b7e-0a15b22d4cef
5,3,5,1,143,4.0,Alojamiento entero,Limpieza avanzada,Llegada autónoma,No ubicación_fantastica,Wifi,Cocina,Lavadora,Aire acondicionado,Secador de pelo,No Frigorífico,Barcelona,Gran Habitación en el Centro de Barcelona,https://www.airbnb.es/rooms/3707514?adults=1&children=0&infants=0&check_in=2022-02-25&check_out=2022-02-27&previous_page_section_name=1000&federated_search_id=4e6d1d2c-4ab4-4786-8b7e-0a15b22d4cef
4,2,3,2,98,4.82,Alojamiento entero,Limpieza avanzada,No Llegada autónoma,Ubicación fantástica,Wifi,Cocina,Lavadora,Aire acondicionado,No Secador de pelo,No Frigorífico,Barcelona,Attic with terrace,https://www.airbnb.es/rooms/1659522?adults=1&children=0&infants=0&check_in=2022-01-14&check_out=2022-01-16&previous_page_section_name=1000&federated_search_id=4e6d1d2c-4ab4-4786-8b7e-0a15b22d4cef
3,2,2,1,35,4.71,Alojamiento entero,Limpieza avanzada,No Llegada autónoma,No ubicación_fantastica,Wifi,Cocina,Lavadora,Aire acondicionado,Secador de pelo,No Frigorífico,Valencia,Casa típica restaurada de diseño en Valencia.,https://www.airbnb.es/rooms/27717611?adults=1&children=0&infants=0&check_in=2022-11-18&check_out=2022-11-20&previous_page_section_name=1000&federated_search_id=da883132-f83c-48c9-9ebe-9fe2d3f82e35
6,2,3,1,75,4.7,Alojamiento entero,Limpieza avanzada,Llegada autónoma,No ubicación_fantastica,Wifi,Cocina,Lavadora,Aire acondicionado,No Secador de pelo,No Frigorífico,Valencia,Casa típica restaurada de diseño en Valencia.,https://www.airbnb.es/rooms/27717611?adults=1&children=0&infants=0&check_in=2022-11-18&check_out=2022-11-20&previous_page_section_name=1000&federated_search_id=da883132-f83c-48c9-9ebe-9fe2d3f82e35
4,1,1,1,64,4.65,Alojamiento entero,No Limpieza avanzada,Llegada autónoma,No ubicación_fantastica,Wifi,Cocina,Lavadora,Aire acondicionado,Secador de pelo,No Frigorífico,Valencia,Turia Town 1 bedroom apartment,https://www.airbnb.es/rooms/46618318?adults=1&children=0&infants=0&check_in=2022-01-28&check_out=2022-01-30&previous_page_section_name=1000&federated_search_id=da883132-f83c-48c9-9ebe-9fe2d3f82e35
6,3,5,2,120,4.96,Alojamiento entero,Limpieza avanzada,No Llegada autónoma,Ubicación fantástica,Wifi,Cocina,Lavadora,Aire acondicionado,No Secador de pelo,No Frigorífico,Valencia,Turia Town 1 bedroom apartment,https://www.airbnb.es/rooms/46618318?adults=1&children=0&infants=0&check_in=2022-01-28&check_out=2022-01-30&previous_page_section_name=1000&federated_search_id=da883132-f83c-48c9-9ebe-9fe2d3f82e35
4,2,3,1,40,4.71,Alojamiento entero,Limpieza avanzada,No Llegada autónoma,No ubicación_fantastica,Wifi,Cocina,Lavadora,Aire acondicionado,Secador de pelo,No Frigorífico,Valencia,Piso modernista reformado en el centro de Valencia,https://www.airbnb.es/rooms/22475689?adults=1&children=0&infants=0&check_in=2022-04-08&check_out=2022-04-10&previous_page_section_name=1000&federated_search_id=da883132-f83c-48c9-9ebe-9fe2d3f82e35
6,2,2,1,79,4.86,Alojamiento entero,Limpieza avanzada,No Llegada autónoma,Ubicación fantástica,Wifi,Cocina,Lavadora,Aire acondicionado,No Secador de pelo,No Frigorífico,Valencia,Piso modernista reformado en el centro de Valencia,https://www.airbnb.es/rooms/22475689?adults=1&children=0&infants=0&check_in=2022-04-08&check_out=2022-04-10&previous_page_section_name=1000&federated_search_id=da883132-f83c-48c9-9ebe-9fe2d3f82e35
2,1,1,1,20,4.86,Habitación privada,Limpieza avanzada,No Llegada autónoma,Ubicación fantástica,No Wifi,No cocina,No lavadora,No Aire acondicionado,No Secador de pelo,No Frigorífico,Valencia,"Habitación interior perfecta para dormir,descansar",https://www.airbnb.es/rooms/52679201?adults=1&children=0&infants=0&check_in=2022-11-04&check_out=2022-11-06&previous_page_section_name=1000&federated_search_id=da883132-f83c-48c9-9ebe-9fe2d3f82e35
5,2,3,1,95,4.57,Alojamiento entero,Limpieza avanzada,No Llegada autónoma,No ubicación_fantastica,Wifi,Cocina,Lavadora,Aire acondicionado,No Secador de pelo,No Frigorífico,Valencia,"Habitación interior perfecta para dormir,descansar",https://www.airbnb.es/rooms/52679201?adults=1&children=0&infants=0&check_in=2022-11-04&check_out=2022-11-06&previous_page_section_name=1000&federated_search_id=da883132-f83c-48c9-9ebe-9fe2d3f82e35
4,1,1,1,40,4.31,Alojamiento entero,No Limpieza avanzada,Llegada autónoma,Ubicación fantástica,Wifi,Cocina,Lavadora,Aire acondicionado,No Secador de pelo,No Frigorífico,Valencia,CENTRO DE VALENCIA.PLAZA DE TOROS,https://www.airbnb.es/rooms/612457?adults=1&children=0&infants=0&check_in=2022-10-21&check_out=2022-10-23&previous_page_section_name=1000&federated_search_id=da883132-f83c-48c9-9ebe-9fe2d3f82e35
6,2,5,1,90,4.0,Alojamiento entero,Limpieza avanzada,No Llegada autónoma,No ubicación_fantastica,Wifi,Cocina,Lavadora,Aire acondicionado,Secador de pelo,No Frigorífico,Valencia,CENTRO DE VALENCIA.PLAZA DE TOROS,https://www.airbnb.es/rooms/612457?adults=1&children=0&infants=0&check_in=2022-10-21&check_out=2022-10-23&previous_page_section_name=1000&federated_search_id=da883132-f83c-48c9-9ebe-9fe2d3f82e35
2,1,1,1,20,4.73,Habitación privada,Limpieza avanzada,No Llegada autónoma,No ubicación_fantastica,Wifi,No cocina,Lavadora,No Aire acondicionado,Secador de pelo,Frigorífico,Valencia,Céntrica y amplia habitación,https://www.airbnb.es/rooms/42275856?adults=1&children=0&infants=0&check_in=2022-01-28&check_out=2022-01-30&previous_page_section_name=1000&federated_search_id=da883132-f83c-48c9-9ebe-9fe2d3f82e35
6,3,4,1,100,4.47,Alojamiento entero,No Limpieza avanzada,No Llegada autónoma,No ubicación_fantastica,Wifi,Cocina,Lavadora,Aire acondicionado,No Secador de pelo,No Frigorífico,Valencia,Céntrica y amplia habitación,https://www.airbnb.es/rooms/42275856?adults=1&children=0&infants=0&check_in=2022-01-28&check_out=2022-01-30&previous_page_section_name=1000&federated_search_id=da883132-f83c-48c9-9ebe-9fe2d3f82e35
1,1,1,1,15,4.64,Habitación privada,Limpieza avanzada,No Llegada autónoma,Ubicación fantástica,Wifi,Cocina,Lavadora,No Aire acondicionado,Secador de pelo,No Frigorífico,Valencia,Habitación simple en piso centrico,https://www.airbnb.es/rooms/21214831?adults=1&children=0&infants=0&check_in=2022-07-08&check_out=2022-07-10&previous_page_section_name=1000&federated_search_id=da883132-f83c-48c9-9ebe-9fe2d3f82e35
6,3,3,2,183,4.0,Alojamiento entero,Limpieza avanzada,No Llegada autónoma,Ubicación fantástica,Wifi,Cocina,Lavadora,Aire acondicionado,No Secador de pelo,No Frigorífico,Valencia,Habitación simple en piso centrico,https://www.airbnb.es/rooms/21214831?adults=1&children=0&infants=0&check_in=2022-07-08&check_out=2022-07-10&previous_page_section_name=1000&federated_search_id=da883132-f83c-48c9-9ebe-9fe2d3f82e35
4,1,2,1,43,4.66,Alojamiento entero,Limpieza avanzada,Llegada autónoma,No ubicación_fantastica,Wifi,Cocina,Lavadora,Aire acondicionado,No Secador de pelo,No Frigorífico,Valencia,Loft dúplex industrial cerca de la playa + BICICLETAS,https://www.airbnb.es/rooms/28201370?adults=1&children=0&infants=0&check_in=2022-10-28&check_out=2022-10-30&previous_page_section_name=1000&federated_search_id=da883132-f83c-48c9-9ebe-9fe2d3f82e35
5,3,6,1,131,4.0,Alojamiento entero,Limpieza avanzada,No Llegada autónoma,Ubicación fantástica,Wifi,Cocina,Lavadora,Aire acondicionado,Secador de pelo,Frigorífico,Valencia,Loft dúplex industrial cerca de la playa + BICICLETAS,https://www.airbnb.es/rooms/28201370?adults=1&children=0&infants=0&check_in=2022-10-28&check_out=2022-10-30&previous_page_section_name=1000&federated_search_id=da883132-f83c-48c9-9ebe-9fe2d3f82e35
1,1,1,1,15,4.56,Habitación privada,Limpieza avanzada,No Llegada autónoma,No ubicación_fantastica,Wifi,No cocina,No lavadora,No Aire acondicionado,Secador de pelo,No Frigorífico,Valencia,Cercano a la Ciudad de las Ciencias,https://www.airbnb.es/rooms/9346966?adults=1&children=0&infants=0&check_in=2022-01-07&check_out=2022-01-09&previous_page_section_name=1000&federated_search_id=da883132-f83c-48c9-9ebe-9fe2d3f82e35
5,2,5,2,80,4.56,Alojamiento entero,Limpieza avanzada,No Llegada autónoma,No ubicación_fantastica,Wifi,Cocina,Lavadora,Aire acondicionado,Secador de pelo,No Frigorífico,Valencia,Cercano a la Ciudad de las Ciencias,https://www.airbnb.es/rooms/9346966?adults=1&children=0&infants=0&check_in=2022-01-07&check_out=2022-01-09&previous_page_section_name=1000&federated_search_id=da883132-f83c-48c9-9ebe-9fe2d3f82e35
1,1,2,1,18,4.83,Habitación privada,Limpieza avanzada,No Llegada autónoma,Ubicación fantástica,Wifi,Cocina,Lavadora,Aire acondicionado,Secador de pelo,Frigorífico,Valencia,Piso acogedor muy cercano al centro Valencia (II),https://www.airbnb.es/rooms/27390480?adults=1&children=0&infants=0&check_in=2022-05-27&check_out=2022-05-29&previous_page_section_name=1000&federated_search_id=da883132-f83c-48c9-9ebe-9fe2d3f82e35
5,0,3,1,55,4.68,Alojamiento entero,Limpieza avanzada,Llegada autónoma,No ubicación_fantastica,Wifi,Cocina,Lavadora,Aire acondicionado,Secador de pelo,No Frigorífico,Valencia,Piso acogedor muy cercano al centro Valencia (II),https://www.airbnb.es/rooms/27390480?adults=1&children=0&infants=0&check_in=2022-05-27&check_out=2022-05-29&previous_page_section_name=1000&federated_search_id=da883132-f83c-48c9-9ebe-9fe2d3f82e35
3,1,1,1,68,4.64,Alojamiento entero,Limpieza avanzada,Llegada autónoma,No ubicación_fantastica,Wifi,Cocina,Lavadora,Aire acondicionado,Secador de pelo,No Frigorífico,Valencia,PISO CÉNTRICO free Cov. OZONO,https://www.airbnb.es/rooms/4059332?adults=1&children=0&infants=0&check_in=2022-10-14&check_out=2022-10-16&previous_page_section_name=1000&federated_search_id=da883132-f83c-48c9-9ebe-9fe2d3f82e35
6,2,3,1,80,4.89,Alojamiento entero,Limpieza avanzada,No Llegada autónoma,Ubicación fantástica,Wifi,Cocina,Lavadora,Aire acondicionado,No Secador de pelo,No Frigorífico,Valencia,PISO CÉNTRICO free Cov. OZONO,https://www.airbnb.es/rooms/4059332?adults=1&children=0&infants=0&check_in=2022-10-14&check_out=2022-10-16&previous_page_section_name=1000&federated_search_id=da883132-f83c-48c9-9ebe-9fe2d3f82e35
1,1,1,1,18,4.9,Habitación privada,Limpieza avanzada,No Llegada autónoma,No ubicación_fantastica,Wifi,Cocina,No lavadora,Aire acondicionado,Secador de pelo,No Frigorífico,Valencia,Bedroom in Valencia.,https://www.airbnb.es/rooms/21048774?adults=1&children=0&infants=0&check_in=2022-07-15&check_out=2022-07-17&previous_page_section_name=1000&federated_search_id=da883132-f83c-48c9-9ebe-9fe2d3f82e35
5,3,4,1,100,4.9,Alojamiento entero,Limpieza avanzada,No Llegada autónoma,Ubicación fantástica,Wifi,Cocina,Lavadora,Aire acondicionado,Secador de pelo,No Frigorífico,Valencia,Bedroom in Valencia.,https://www.airbnb.es/rooms/21048774?adults=1&children=0&infants=0&check_in=2022-07-15&check_out=2022-07-17&previous_page_section_name=1000&federated_search_id=da883132-f83c-48c9-9ebe-9fe2d3f82e35
4,2,2,1,67,5.0,Alojamiento entero,Limpieza avanzada,No Llegada autónoma,Ubicación fantástica,No Wifi,No cocina,No lavadora,No Aire acondicionado,No Secador de pelo,No Frigorífico,Valencia,Charming 2 bedroom loft in the heart of Ruzafa,https://www.airbnb.es/rooms/49859336?adults=1&children=0&infants=0&check_in=2022-04-29&check_out=2022-05-01&previous_page_section_name=1000&federated_search_id=da883132-f83c-48c9-9ebe-9fe2d3f82e35
5,3,5,2,110,4.93,Alojamiento entero,Limpieza avanzada,No Llegada autónoma,No ubicación_fantastica,Wifi,Cocina,Lavadora,Aire acondicionado,No Secador de pelo,No Frigorífico,Valencia,Charming 2 bedroom loft in the heart of Ruzafa,https://www.airbnb.es/rooms/49859336?adults=1&children=0&infants=0&check_in=2022-04-29&check_out=2022-05-01&previous_page_section_name=1000&federated_search_id=da883132-f83c-48c9-9ebe-9fe2d3f82e35
5,3,4,1,62,4.0,Alojamiento entero,Limpieza avanzada,No Llegada autónoma,No ubicación_fantastica,Wifi,Cocina,Lavadora,Aire acondicionado,No Secador de pelo,No Frigorífico,Valencia,Apartamento 5 minutos de la ciudad de las ciencias,https://www.airbnb.es/rooms/52512891?adults=1&children=0&infants=0&check_in=2021-12-17&check_out=2021-12-19&previous_page_section_name=1000&federated_search_id=da883132-f83c-48c9-9ebe-9fe2d3f82e35
6,2,3,2,80,4.1,Alojamiento entero,Limpieza avanzada,No Llegada autónoma,Ubicación fantástica,No Wifi,No cocina,No lavadora,No Aire acondicionado,No Secador de pelo,No Frigorífico,Valencia,Apartamento 5 minutos de la ciudad de las ciencias,https://www.airbnb.es/rooms/52512891?adults=1&children=0&infants=0&check_in=2021-12-17&check_out=2021-12-19&previous_page_section_name=1000&federated_search_id=da883132-f83c-48c9-9ebe-9fe2d3f82e35
2,1,1,1,83,4.95,Alojamiento entero,Limpieza avanzada,No Llegada autónoma,Ubicación fantástica,Wifi,Cocina,Lavadora,Aire acondicionado,Secador de pelo,No Frigorífico,Valencia,Encantador loft en Plaza Redonda -1,https://www.airbnb.es/rooms/772380?adults=1&children=0&infants=0&check_in=2022-09-30&check_out=2022-10-02&previous_page_section_name=1000&federated_search_id=da883132-f83c-48c9-9ebe-9fe2d3f82e35
7,3,4,2,150,4.0,Alojamiento entero,Limpieza avanzada,Llegada autónoma,No ubicación_fantastica,Wifi,Cocina,Lavadora,Aire acondicionado,Secador de pelo,No Frigorífico,Valencia,Encantador loft en Plaza Redonda -1,https://www.airbnb.es/rooms/772380?adults=1&children=0&infants=0&check_in=2022-09-30&check_out=2022-10-02&previous_page_section_name=1000&federated_search_id=da883132-f83c-48c9-9ebe-9fe2d3f82e35
2,1,1,1,38,4.0,Alojamiento entero,No Limpieza avanzada,Llegada autónoma,No ubicación_fantastica,Wifi,Cocina,No lavadora,Aire acondicionado,Secador de pelo,Frigorífico,Valencia,Cozy loft with the FREE step SCOOTERS wi fi,https://www.airbnb.es/rooms/52579928?adults=1&children=0&infants=0&check_in=2022-01-28&check_out=2022-01-30&previous_page_section_name=1000&federated_search_id=da883132-f83c-48c9-9ebe-9fe2d3f82e35
6,2,4,1,100,4.92,Alojamiento entero,Limpieza avanzada,Llegada autónoma,No ubicación_fantastica,Wifi,Cocina,Lavadora,Aire acondicionado,Secador de pelo,Frigorífico,Valencia,Cozy loft with the FREE step SCOOTERS wi fi,https://www.airbnb.es/rooms/52579928?adults=1&children=0&infants=0&check_in=2022-01-28&check_out=2022-01-30&previous_page_section_name=1000&federated_search_id=da883132-f83c-48c9-9ebe-9fe2d3f82e35
4,1,2,1,112,4.0,Alojamiento entero,No Limpieza avanzada,No Llegada autónoma,Ubicación fantástica,No Wifi,No cocina,No lavadora,No Aire acondicionado,No Secador de pelo,No Frigorífico,Valencia,FANTASTIC LOFT!! 1 MIN FROM PLAZA DEL AYUNTAMIENTO,https://www.airbnb.es/rooms/50885775?adults=1&children=0&infants=0&check_in=2021-12-17&check_out=2021-12-19&previous_page_section_name=1000&federated_search_id=da883132-f83c-48c9-9ebe-9fe2d3f82e35
6,3,4,1,106,4.0,Alojamiento entero,No Limpieza avanzada,Llegada autónoma,No ubicación_fantastica,Wifi,Cocina,Lavadora,Aire acondicionado,Secador de pelo,Frigorífico,Valencia,FANTASTIC LOFT!! 1 MIN FROM PLAZA DEL AYUNTAMIENTO,https://www.airbnb.es/rooms/50885775?adults=1&children=0&infants=0&check_in=2021-12-17&check_out=2021-12-19&previous_page_section_name=1000&federated_search_id=da883132-f83c-48c9-9ebe-9fe2d3f82e35
4,2,1,1,80,4.86,Alojamiento entero,Limpieza avanzada,No Llegada autónoma,Ubicación fantástica,No Wifi,No cocina,No lavadora,No Aire acondicionado,No Secador de pelo,No Frigorífico,Valencia,JUNTO RUZAFA Y CIUDAD DE LAS ARTES Y LAS CIENCIAS,https://www.airbnb.es/rooms/52624668?adults=1&children=0&infants=0&check_in=2022-07-22&check_out=2022-07-24&previous_page_section_name=1000&federated_search_id=da883132-f83c-48c9-9ebe-9fe2d3f82e35
6,2,4,1,84,4.78,Alojamiento entero,Limpieza avanzada,No Llegada autónoma,Ubicación fantástica,Wifi,Cocina,Lavadora,Aire acondicionado,Secador de pelo,No Frigorífico,Valencia,JUNTO RUZAFA Y CIUDAD DE LAS ARTES Y LAS CIENCIAS,https://www.airbnb.es/rooms/52624668?adults=1&children=0&infants=0&check_in=2022-07-22&check_out=2022-07-24&previous_page_section_name=1000&federated_search_id=da883132-f83c-48c9-9ebe-9fe2d3f82e35
5,2,3,1,90,4.49,Alojamiento entero,No Limpieza avanzada,Llegada autónoma,No ubicación_fantastica,Wifi,Cocina,Lavadora,Aire acondicionado,Secador de pelo,No Frigorífico,Valencia,NEW APARTAMENT 5 pax. FRONT CENTRAL STATION. WIFI,https://www.airbnb.es/rooms/29581430?adults=1&children=0&infants=0&check_in=2022-02-04&check_out=2022-02-06&previous_page_section_name=1000&federated_search_id=da883132-f83c-48c9-9ebe-9fe2d3f82e35
6,2,3,2,80,4.86,Alojamiento entero,Limpieza avanzada,No Llegada autónoma,Ubicación fantástica,Wifi,Cocina,Lavadora,Aire acondicionado,No Secador de pelo,No Frigorífico,Valencia,NEW APARTAMENT 5 pax. FRONT CENTRAL STATION. WIFI,https://www.airbnb.es/rooms/29581430?adults=1&children=0&infants=0&check_in=2022-02-04&check_out=2022-02-06&previous_page_section_name=1000&federated_search_id=da883132-f83c-48c9-9ebe-9fe2d3f82e35
3,2,2,1,55,4.82,Alojamiento entero,No Limpieza avanzada,No Llegada autónoma,Ubicación fantástica,Wifi,Cocina,Lavadora,No Aire acondicionado,No Secador de pelo,No Frigorífico,Valencia,Acogedor y luminoso refugio en centro Valencia!,https://www.airbnb.es/rooms/5794235?adults=1&children=0&infants=0&check_in=2022-07-08&check_out=2022-07-10&previous_page_section_name=1000&federated_search_id=da883132-f83c-48c9-9ebe-9fe2d3f82e35
8,3,4,2,126,4.82,Alojamiento entero,Limpieza avanzada,Llegada autónoma,No ubicación_fantastica,Wifi,Cocina,Lavadora,Aire acondicionado,No Secador de pelo,No Frigorífico,Valencia,Acogedor y luminoso refugio en centro Valencia!,https://www.airbnb.es/rooms/5794235?adults=1&children=0&infants=0&check_in=2022-07-08&check_out=2022-07-10&previous_page_section_name=1000&federated_search_id=da883132-f83c-48c9-9ebe-9fe2d3f82e35
4,2,3,1,40,4.71,Alojamiento entero,Limpieza avanzada,No Llegada autónoma,No ubicación_fantastica,No Wifi,No cocina,No lavadora,No Aire acondicionado,No Secador de pelo,No Frigorífico,Valencia,Piso modernista reformado en el centro de Valencia,https://www.airbnb.es/rooms/22475689?adults=1&children=0&infants=0&check_in=2022-02-11&check_out=2022-02-13&previous_page_section_name=1000&federated_search_id=6befdc50-7a62-4035-abd7-8060f74901db
6,2,4,1,92,4.78,Alojamiento entero,Limpieza avanzada,No Llegada autónoma,Ubicación fantástica,Wifi,Cocina,Lavadora,Aire acondicionado,Secador de pelo,No Frigorífico,Valencia,Piso modernista reformado en el centro de Valencia,https://www.airbnb.es/rooms/22475689?adults=1&children=0&infants=0&check_in=2022-02-11&check_out=2022-02-13&previous_page_section_name=1000&federated_search_id=6befdc50-7a62-4035-abd7-8060f74901db
1,1,2,1,18,4.83,Habitación privada,Limpieza avanzada,No Llegada autónoma,Ubicación fantástica,Wifi,Cocina,Lavadora,Aire acondicionado,Secador de pelo,Frigorífico,Valencia,Piso acogedor muy cercano al centro Valencia (II),https://www.airbnb.es/rooms/27390480?adults=1&children=0&infants=0&check_in=2022-06-03&check_out=2022-06-05&previous_page_section_name=1000&federated_search_id=6befdc50-7a62-4035-abd7-8060f74901db
6,3,5,2,120,4.93,Alojamiento entero,Limpieza avanzada,No Llegada autónoma,Ubicación fantástica,Wifi,Cocina,Lavadora,Aire acondicionado,No Secador de pelo,No Frigorífico,Valencia,Piso acogedor muy cercano al centro Valencia (II),https://www.airbnb.es/rooms/27390480?adults=1&children=0&infants=0&check_in=2022-06-03&check_out=2022-06-05&previous_page_section_name=1000&federated_search_id=6befdc50-7a62-4035-abd7-8060f74901db
3,1,1,1,59,4.83,Alojamiento entero,Limpieza avanzada,No Llegada autónoma,Ubicación fantástica,Wifi,Cocina,Lavadora,Aire acondicionado,Secador de pelo,Frigorífico,Valencia,Casco Historico apartamento idilico en el Centro.,https://www.airbnb.es/rooms/29043725?adults=1&children=0&infants=0&check_in=2022-04-15&check_out=2022-04-17&previous_page_section_name=1000&federated_search_id=6befdc50-7a62-4035-abd7-8060f74901db
6,2,4,1,95,4.94,Alojamiento entero,Limpieza avanzada,No Llegada autónoma,Ubicación fantástica,Wifi,Cocina,Lavadora,Aire acondicionado,Secador de pelo,No Frigorífico,Valencia,Casco Historico apartamento idilico en el Centro.,https://www.airbnb.es/rooms/29043725?adults=1&children=0&infants=0&check_in=2022-04-15&check_out=2022-04-17&previous_page_section_name=1000&federated_search_id=6befdc50-7a62-4035-abd7-8060f74901db
1,1,1,1,16,4.36,Habitación privada,Limpieza avanzada,No Llegada autónoma,No ubicación_fantastica,No Wifi,No cocina,No lavadora,No Aire acondicionado,No Secador de pelo,No Frigorífico,Valencia,PRIVATE ROOM⭐️BALCONY⭐️VALENCIA CENTER,https://www.airbnb.es/rooms/45718267?adults=1&children=0&infants=0&check_in=2022-09-09&check_out=2022-09-11&previous_page_section_name=1000&federated_search_id=6befdc50-7a62-4035-abd7-8060f74901db
6,2,3,2,116,4.0,Alojamiento entero,Limpieza avanzada,No Llegada autónoma,No ubicación_fantastica,Wifi,Cocina,Lavadora,Aire acondicionado,Secador de pelo,Frigorífico,Valencia,PRIVATE ROOM⭐️BALCONY⭐️VALENCIA CENTER,https://www.airbnb.es/rooms/45718267?adults=1&children=0&infants=0&check_in=2022-09-09&check_out=2022-09-11&previous_page_section_name=1000&federated_search_id=6befdc50-7a62-4035-abd7-8060f74901db
4,1,2,1,60,4.74,Alojamiento entero,Limpieza avanzada,No Llegada autónoma,Ubicación fantástica,Wifi,Cocina,No lavadora,Aire acondicionado,Secador de pelo,No Frigorífico,Valencia,"Luminoso, cómodo, céntrico 2",https://www.airbnb.es/rooms/45683910?adults=1&children=0&infants=0&check_in=2022-01-28&check_out=2022-01-30&previous_page_section_name=1000&federated_search_id=6befdc50-7a62-4035-abd7-8060f74901db
5,2,3,1,72,4.73,Alojamiento entero,Limpieza avanzada,No Llegada autónoma,No ubicación_fantastica,No Wifi,Cocina,Lavadora,Aire acondicionado,Secador de pelo,Frigorífico,Valencia,"Luminoso, cómodo, céntrico 2",https://www.airbnb.es/rooms/45683910?adults=1&children=0&infants=0&check_in=2022-01-28&check_out=2022-01-30&previous_page_section_name=1000&federated_search_id=6befdc50-7a62-4035-abd7-8060f74901db
1,1,1,2,25,4.84,Habitación privada,Limpieza avanzada,No Llegada autónoma,Ubicación fantástica,Wifi,Cocina,Lavadora,No Aire acondicionado,Secador de pelo,Frigorífico,Valencia,BÚHO HOUSE HABITACION INDIVIDUAL,https://www.airbnb.es/rooms/27020422?adults=1&children=0&infants=0&check_in=2022-03-04&check_out=2022-03-06&previous_page_section_name=1000&federated_search_id=6befdc50-7a62-4035-abd7-8060f74901db
7,3,7,2,114,4.63,Alojamiento entero,Limpieza avanzada,Llegada autónoma,No ubicación_fantastica,Wifi,Cocina,Lavadora,Aire acondicionado,No Secador de pelo,No Frigorífico,Valencia,BÚHO HOUSE HABITACION INDIVIDUAL,https://www.airbnb.es/rooms/27020422?adults=1&children=0&infants=0&check_in=2022-03-04&check_out=2022-03-06&previous_page_section_name=1000&federated_search_id=6befdc50-7a62-4035-abd7-8060f74901db
2,1,1,1,68,4.51,Alojamiento entero,Limpieza avanzada,Llegada autónoma,No ubicación_fantastica,No Wifi,No cocina,No lavadora,No Aire acondicionado,No Secador de pelo,No Frigorífico,Valencia,De diseño en excelente ubicación free Cov. OZONO,https://www.airbnb.es/rooms/3651294?adults=1&children=0&infants=0&check_in=2022-01-07&check_out=2022-01-09&previous_page_section_name=1000&federated_search_id=6befdc50-7a62-4035-abd7-8060f74901db
8,3,6,1,135,4.69,Alojamiento entero,Limpieza avanzada,Llegada autónoma,No ubicación_fantastica,Wifi,Cocina,Lavadora,Aire acondicionado,No Secador de pelo,No Frigorífico,Valencia,De diseño en excelente ubicación free Cov. OZONO,https://www.airbnb.es/rooms/3651294?adults=1&children=0&infants=0&check_in=2022-01-07&check_out=2022-01-09&previous_page_section_name=1000&federated_search_id=6befdc50-7a62-4035-abd7-8060f74901db
3,1,2,1,50,4.58,Alojamiento entero,Limpieza avanzada,No Llegada autónoma,No ubicación_fantastica,Wifi,Cocina,Lavadora,No Aire acondicionado,No Secador de pelo,No Frigorífico,Valencia,Confortable piso en el centro. WIFI,https://www.airbnb.es/rooms/9359032?adults=1&children=0&infants=0&check_in=2022-10-21&check_out=2022-10-23&previous_page_section_name=1000&federated_search_id=6befdc50-7a62-4035-abd7-8060f74901db
8,3,4,2,152,4.0,Alojamiento entero,Limpieza avanzada,Llegada autónoma,No ubicación_fantastica,Wifi,Cocina,Lavadora,Aire acondicionado,No Secador de pelo,No Frigorífico,Valencia,Confortable piso en el centro. WIFI,https://www.airbnb.es/rooms/9359032?adults=1&children=0&infants=0&check_in=2022-10-21&check_out=2022-10-23&previous_page_section_name=1000&federated_search_id=6befdc50-7a62-4035-abd7-8060f74901db
