huespedes,dormitorios,camas,baños,precio_eur,valoracion,alojamiento_entero,limpieza,llegada_autonoma,ubicacion_fantastica,cocina,wifi,lavadora,aire_acondicionado,secador,frigorifico
6,3,3,3,118,4.64,1,1,1,1,1,1,0,1,1,1
3,1,2,2,46,4.67,0,1,0,1,1,1,0,0,1,1
6,2,4,1,116,4.89,1,1,1,0,1,1,0,1,1,1
5,3,4,2,70,4.65,1,1,1,1,1,1,0,1,1,1
1,1,1,2,25,4.29,0,0,0,1,1,1,1,0,1,1
8,3,5,2,160,4.57,1,1,1,1,1,1,0,1,1,0
5,2,5,1,129,4.71,1,1,0,1,1,1,1,1,0,1
2,1,2,1,75,4.0,1,1,1,0,1,1,0,1,1,0
6,3,4,2,182,4.67,1,1,1,0,1,1,0,1,1,1
5,2,2,1,96,4.43,1,0,0,1,1,1,0,1,0,1
2,1,1,1,35,3.86,1,0,1,1,0,0,1,0,0,1
5,3,3,2,133,4.88,1,1,0,1,1,1,0,0,0,1
5,3,4,2,172,4.0,1,1,1,0,1,1,0,1,1,1
4,1,2,1,68,4.81,1,1,1,1,1,1,0,1,1,1
8,3,5,2,200,4.75,1,1,0,1,1,1,0,1,1,0
5,2,3,1,90,4.86,1,1,1,1,1,1,0,1,1,0
2,1,1,1,41,4.89,0,1,1,0,1,1,0,0,0,0
6,2,3,2,193,4.68,1,1,0,1,1,1,0,1,1,0
6,3,5,2,107,4.0,1,1,1,1,1,1,0,1,0,1
3,2,2,1,69,4.78,1,1,1,0,1,1,0,1,0,1
6,2,3,2,169,4.61,1,1,1,0,1,1,0,1,1,1
6,3,4,1,112,4.93,1,1,1,1,1,1,0,1,0,1
4,1,2,1,71,4.96,1,1,1,1,1,1,0,1,1,0
8,3,5,2,211,4.0,1,1,1,0,1,1,0,1,1,0
6,4,4,2,90,4.83,1,1,1,1,1,1,0,1,0,1
2,1,1,1,65,4.66,1,1,1,0,1,1,0,1,0,1
5,2,3,2,150,4.9,1,1,1,0,1,1,0,1,1,1
5,2,3,1,89,4.51,1,0,0,1,1,1,0,1,1,0
4,2,3,1,75,5.0,1,1,0,1,1,1,0,1,1,0
